texto,M,hash_name,n,alpha,max_bucket,avg_bucket,std_dev,total_comp_success,avg_comp_success,total_comp_fail,avg_comp_fail,lin_total_comp_success,lin_avg_comp_success,lin_total_comp_fail,lin_avg_comp_fail
tale,97,H1_soma,9698,99.97938144329896,153,99.97938144329896,24.671022854546436,519169,53.533615178387294,116037,116.037,47030451,4849.5,9698000,9698.0
tale,97,H2_posicional,9698,99.97938144329896,121,99.97938144329896,9.794780201975767,494302,50.96947824293669,99873,99.873,47030451,4849.5,9698000,9698.0
tale,97,H3_polinomial,9698,99.97938144329896,119,99.97938144329896,10.302616404196886,494797,51.02051969478243,99807,99.807,47030451,4849.5,9698000,9698.0
tale,97,H4_xor,9698,99.97938144329896,126,99.97938144329896,8.966121092894024,493548,50.89173025366055,99646,99.646,47030451,4849.5,9698000,9698.0
tale,97,H_ruim,9698,99.97938144329896,1204,99.97938144329896,222.21996065853605,2884662,297.4491647762425,362188,362.188,47030451,4849.5,9698000,9698.0
tale,100,H1_soma,9698,96.98,180,96.98,42.35728508769182,564812,58.240049494741186,131127,131.127,47030451,4849.5,9698000,9698.0
tale,100,H2_posicional,9698,96.98,116,96.98,9.22060735526679,479356,49.42833573932769,97320,97.32,47030451,4849.5,9698000,9698.0
tale,100,H3_polinomial,9698,96.98,120,96.98,10.473757682894902,480590,49.555578469787584,96695,96.695,47030451,4849.5,9698000,9698.0
tale,100,H4_xor,9698,96.98,129,96.98,9.929733128337338,480035,49.49835017529387,96878,96.878,47030451,4849.5,9698000,9698.0
tale,100,H_ruim,9698,96.98,1204,96.98,219.52480406550873,2884662,297.4491647762425,373651,373.651,47030451,4849.5,9698000,9698.0
tale,997,H1_soma,9698,9.727181544633902,48,9.727181544633902,10.235334856222215,104240,10.748607960404208,19242,19.242,47030451,4849.5,9698000,9698.0
tale,997,H2_posicional,9698,9.727181544633902,30,9.727181544633902,6.009336882672561,70018,7.2198391420911525,9764,9.764,47030451,4849.5,9698000,9698.0
tale,997,H3_polinomial,9698,9.727181544633902,20,9.727181544633902,3.2649307340639138,57330,5.911528150134048,9815,9.815,47030451,4849.5,9698000,9698.0
tale,997,H4_xor,9698,9.727181544633902,23,9.727181544633902,3.1625620589120196,57002,5.877706743658487,9437,9.437,47030451,4849.5,9698000,9698.0
tale,997,H_ruim,9698,9.727181544633902,1204,9.727181544633902,75.38128952073963,2884662,297.4491647762425,370829,370.829,47030451,4849.5,9698000,9698.0
quincas,97,H1_soma,10302,106.20618556701031,162,106.20618556701031,31.06857667457783,599034,58.14735002912056,127039,127.039,53070753,5151.5,10302000,10302.0
quincas,97,H2_posicional,10302,106.20618556701031,146,106.20618556701031,11.795454431428888,558967,54.258105222286936,107377,107.377,53070753,5151.5,10302000,10302.0
quincas,97,H3_polinomial,10302,106.20618556701031,137,106.20618556701031,10.690527789551512,557762,54.14113764317608,106518,106.518,53070753,5151.5,10302000,10302.0
quincas,97,H4_xor,10302,106.20618556701031,129,106.20618556701031,10.279534411545214,557344,54.10056299747622,106492,106.492,53070753,5151.5,10302000,10302.0
quincas,97,H_ruim,10302,106.20618556701031,1380,106.20618556701031,261.5190335524211,3869241,375.5815375655213,389452,389.452,53070753,5151.5,10302000,10302.0
quincas,100,H1_soma,10302,103.02,186,103.02,48.93995913361596,655563,63.634536983110074,141748,141.748,53070753,5151.5,10302000,10302.0
quincas,100,H2_posicional,10302,103.02,137,103.02,10.282976222864662,541094,52.523199378761404,102822,102.822,53070753,5151.5,10302000,10302.0
quincas,100,H3_polinomial,10302,103.02,129,103.02,8.922981564477201,539788,52.39642787808192,102801,102.801,53070753,5151.5,10302000,10302.0
quincas,100,H4_xor,10302,103.02,124,103.02,8.965467082087804,539826,52.400116482236456,102673,102.673,53070753,5151.5,10302000,10302.0
quincas,100,H_ruim,10302,103.02,1380,103.02,258.2027877463758,3869241,375.5815375655213,405763,405.763,53070753,5151.5,10302000,10302.0
quincas,997,H1_soma,10302,10.332998996990973,50,10.332998996990973,10.43244708539505,112631,10.932925645505726,19844,19.844,53070753,5151.5,10302000,10302.0
quincas,997,H2_posicional,10302,10.332998996990973,28,10.332998996990973,6.057518048485053,76668,7.442050087361677,10461,10.461,53070753,5151.5,10302000,10302.0
quincas,997,H3_polinomial,10302,10.332998996990973,23,10.332998996990973,3.112637123499422,63206,6.135313531353136,10469,10.469,53070753,5151.5,10302000,10302.0
quincas,997,H4_xor,10302,10.332998996990973,25,10.332998996990973,3.0240500938160273,62935,6.1090079596194915,10317,10.317,53070753,5151.5,10302000,10302.0
quincas,997,H_ruim,10302,10.332998996990973,1380,10.332998996990973,87.43376598681375,3869241,375.5815375655213,409697,409.697,53070753,5151.5,10302000,10302.0
